description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 mana potion	0				100					1	mpot																																																																																														0
,qty=	0				100					1	hpot																																																																																														0
,uni	0				100					1	apot																																																																																														0
,set	0				100					2	mpot,qty=2																																																																																														0
,mag	0				100					2	hpot,qty=2																																																																																														0
Staff of Kings + Amulet of the Viper -> Horadric Staff	1				0	28				2	msf	vip						hst																																																																																							0
Khalim's Flail + Khalim's Heart + Khalim's Eye + Khalim's Brain -> Khalim's Will	1				0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
Wirt's Leg  -> Portal to The Secret Cow Level	1				0	28				1	leg							Cow Portal																													leg																																																										0
3 Healing Potions (Any) + 3 Mana Potions (Any) + 1 Standard Gem (Any) -> Full Rejuvenation Potion	0				0					7	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
3 Healing Potions (Any) + 3 Mana Potions (Any)  + 1 Chipped Gem (Any) -> Rejuvenation Potion	0				0					7	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
3 Rejuvenation Potions -> Full Rejuvenation Potion	1				0					3	"rvs,qty=3"							rvl																																																																																							0
6 Perfect Gems (1 of each type) + 1 Magic Amulet -> Prismatic Amulet	1				0					7	"amu,mag"	gpv	gpy	gpb	gpg	gpr	gpw	"amu,mag,pre=331"	50																																																																																						0
1 Magic Ring + 1 Standard Ruby + 1 Healing Potion -> Garnet Ring	1				0					3	rin,mag	gpr	hpot					rin,mag,pre=372	30																																																																																						0
1 Magic Ring + 1 Standard Sapphire + 1 Thawing Potion -> Cobalt Ring	1				0					3	rin,mag	gpb	wms					rin,mag,pre=353	30																																																																																						0
1 Magic Ring + 1 Standard Topaz + 1 Rejuvenation Potion -> Coral Ring	1				0					3	rin,mag	gpy	rvs					rin,mag,pre=392	30																																																																																						0
1 Magic Ring + 1 Standard Emerald + 1 Antidote Potion -> Jade Ring	1				0					3	rin,mag	gpg	yps					rin,mag,pre=412	30																																																																																						0
1 Axe (Any) + 1 Dagger (Any) -> Throwing Axe	1				0					2	axe	knif						"tax,nor"																																																																																							0
1 Spear (Any) + 1 Arrows -> Javelins	1				0					2	spea	aqv						"jav,nor"																																																																																							0
3 Magic Rings -> Magic Amulet	1				0					3	"rin,mag,qty=3"							"amu,mag"		75																																																																																					0
3 Magic Amulets -> Magic Ring	1				0					3	"amu,mag,qty=3"							"rin,mag"		75																																																																																					0
3 Standard Gems + 1 Socketed Weapon ->  Socketed Magic Weapon	0				0					4	"weap,sock"	"gem2,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
3 Flawless Gems + 1 Magic Weapon -> Socketed Magic Weapon	0				0					4	"weap,mag"	"gem3,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
1 Magic Shield + 1 Spiked Club + 2 Skulls (Any) -> Magic Shield of Spikes	0				0					4	"shld,mag"	"gemz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
4 Healing Potions (Any) + 1 Perfect Ruby + 1 Magic Sword -> Sword of the Leech	0				0					6	"swor,mag"	gpr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
1 Perfect Diamond + 1 Kris + 1 Staff + 1 Belt -> Savage Polearm	0				0					4	kri	gpw	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
1 Strangling Gas Potion + 1 Healing Potion (Any) -> Antidote Potion	1				0					2	gpl	hpot						yps																																																																																							0
WIP 2 Arrows -> Bolts with MF + Sockets	1				0					2	"aqv,qty=2"							cqv	99		99	mag%/lvl	100		4	4	sock	100		3	3																																																																										0
WIP 2 Bolts -> Arrows with MF + Sockets	1				0					2	"cqv,qty=2"							aqv	99		99	mag%/lvl	100		4	4	sock	100		3	3																																																																										0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1				100					4	"any,mag"	"gem4,qty=3"						"usetype,mag"			100																																																																																				0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	1				0					7	"any,rar"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	1				0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
1 Eld Rune + 1 Chipped Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	0				100					3	weap,low	r02	gem0					usetype,nor																																																																																							0
1 El Rune + 1 Chipped Gem (Any) + 1 Low Quality Armor -> Normal Armor	0				100					3	armo,low	r01	gem0					usetype,nor																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item	1				100					3	any,sock	r15	tsc					useitem,uns																																																																																							0
1 Uber Ancient Summon Material from Act 1 + Act2 + Act3 + Act 4 + Act 5 -> Portal to Colossal Summit	1			2	100	28				5	ua1	ua2	ua3	ua4	ua5			"Red Portal,lvl=137,qty=1"																																																																																							0
2 Uber Ancient Summon Material convert next Tier 1	1				100					2	"ua5,qty=2"							ua4																																																																																							0
2 Uber Ancient Summon Material convert next Tier 2	1				100					2	"ua4,qty=2"							ua3																																																																																							0
2 Uber Ancient Summon Material convert next Tier 3	1				100					2	"ua3,qty=2"							ua2																																																																																							0
2 Uber Ancient Summon Material convert next Tier 4	1				100					2	"ua2,qty=2"							ua1																																																																																							0
2 Uber Ancient Summon Material convert next Tier 5	1				100					2	"ua1,qty=2"							ua5																																																																																							0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 3 Socket to Rare Item	1				0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=3"																																																																																							0
2 Unique Jewerly = SOH	1				0					3	jwly,uni,qty=2	wms						std																																																																																							0
Seasonal Gift	0				100					1	gft							r15g	51																												"r01g,qty=5"	35																												"gem,qty=5"																													0
Infernal Mawstone + Item --> Rerolls Ethereal Set ; Potential Upgrade or Downgrade	1				100					2	any,set,eth	rrr						usetype,set	99		99	ethereal	100		1	1																																																																															0
Infernal Mawstone + Item --> Rerolls Set; Potential Upgrade or Downgrade	1				100					2	any,set,noe	rrr						usetype,set	99		99																																																																																				0
Infernal Mawstone + Item --> Rerolls Ethereal Unique ; Potential Upgrade or Downgrade	1				100					2	any,uni,eth	rrr						usetype,uni	99		99	ethereal	100		1	1																																																																															0
Infernal Mawstone + Item --> Rerolls Unique ; Potential Upgrade or Downgrade	1				100					2	any,uni,noe	rrr						usetype,uni	99		99																																																																																				0
Fracture Halo --> Return Base + Socketed Items	1				100					2	any,sock	rtr						useitem,rem																																																																																							0
3 Prime Sigil's  = 1 Gull Dagger	1				100					3	gwh,qty=3							Gull	21		21																																																																																				0
4 Prime Sigil's  = 1 Tarnhelm	1				100					4	gwh,qty=4							Tarnhelm	21		21																																																																																				0
1 Thaw for Blank Charm	1				100					1	wms							mfd	99		99																										mfd																													mfd																													0
2 Thaw for Modifiers Charm	1				100					2	wms,qty=2							Charm Modifiers	99		99																																																																																				0
3 Thaw for Level Reward Charm	1				100					3	wms,qty=3							Charm Level Reward	99		99																																																																																				0
Magic Wand + Blood Coiled Stone + Mana Potion = Wand of Lower Res	1				100					3	wand,mag	voa	mpot					usetype,mag				oskill	100	91	1	1																																																																															0
Magic Wand + Blood Coiled Stone + HP Potion = Wand of Life Tap	1				100					3	wand,mag	voa	hpot					usetype,mag				oskill	100	82	1	1																																																																															0
Magic Staff + Riftcarver = Staff of Teleportation 	1				100					2	staf,mag	bgn						usetype,mag				charged	100	54	33	1																																																																															0
Herb + TP Book  = Replenishing TP Book	1				0					2	tbk	hsm						useitem				rep-quant		40																																																																																	0
Herb + ID Book  = Replenishing ID Book	1				0					2	ibk	hsm						useitem				rep-quant		40																																																																																	0
Herb + Standard of Heros = Repair Augment on Throwing Knife	1				0					3	tkni	std	hsm					useitem				rep-quant		40																																																																																	0
Herb + Standard of Heros = Repair Augment on Throwing Axe	1				0					3	taxe	std	hsm					useitem				rep-quant		40																																																																																	0
Herb + Standard of Heros = Repair Augment on Javelin	1				0					3	jave	std	hsm					useitem				rep-quant		40																																																																																	0
Herb + Standard of Heros = Repair Augment on Magic Item	1				0					3	any,mag	std	hsm					useitem				rep-dur		25																																																																																	0
Herb + Standard of Heros = Repair Augment on Rare Item	1				0					3	any,rar	std	hsm					useitem				rep-dur		25																																																																																	0
Herb + Standard of Heros = Repair Augment on Set Armor	1				0					3	armo,set	std	hsm					useitem				rep-dur		25																																																																																	0
Herb + Standard of Heros = Repair Augment on Set Weapon	1				0					3	weap,set	std	hsm					useitem				rep-dur		25																																																																																	0
Herb + Standard of Heros = Repair Augment on Unique Armor	1				0					3	armo,uni	std	hsm					useitem				rep-dur		25																																																																																	0
