ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	*skillID	*CTC	UICategory	RunewordCategory1	RunewordCategory2	Restricted
Any				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
None	none			0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
Shield	shie	shld		1	1	rarm	larm			0	0	0	0		1	0	0	3	25	3	40	4	0	3			0							armo	0						
Armor	tors	armo		1	1	tors	tors			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							armo	0						
Gold	gold	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0								0						
Bow Quiver	bowq	misl	seco	1	1	rarm	larm		bow	1	1	0	1			1	0	1	25	2	40	3	0	3			0							misc	0						
Crossbow Quiver	xboq	misl	seco	1	1	rarm	larm		xbow	1	1	0	1			1	0	1	25	2	40	3	0	3			0							misc	0						
Player Body Part	play	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Herb	herb	misc		0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0							misc	0						
Potion	poti	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0						
Ring	ring	misc	merc	0	1	rrin	lrin			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0						
Elixir	elix	misc		0	0					0	0	0	0			0	1	0	25	0	40	0	0	3			0							misc	0						
Amulet	amul	misc	merc	0	1	neck	neck			0	0	0	0	1	1	0	0	1	25	1	40	1	0	3			3	invamu1	invamu2	invamu3				misc	0						
Charm	char	misc	poti	0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			3	invch1	invch4	invch7				misc	0						
Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
Boots	boot	armo	merc	1	1	feet	feet			0	0	0	0		1	0	0	1	48	2	74	3	0	3			0							armo	0				r_off		
Gloves	glov	armo	merc	1	1	glov	glov			0	0	0	0		1	0	0	1	48	2	74	3	0	3			0							armo	0						
Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
Book	book	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Belt	belt	armo	merc	1	1	belt	belt			0	0	0	0		1	0	0	1	48	2	74	2	0	3			0							armo	0				r_mel		
Gem	gem	sock	poti	0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Torch	torc	misc		0	1					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0						
Scroll	scro	misc		0	0					0	0	0	0			1	1	0	25	0	40	0	0	3			0							misc	0						
Not Used				0	0					0	0	0	0			0	0	0	25	0	40	0	0	3			0								0						
Scepter	scep	rod	ac5	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	5	40	6	0	1	pal		0							weap	0						
Wand	wand	rod		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	2	40	2	0	1	nec		0							weap	0						
Staff	staf	rod		1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor		0							weap	0						
Bow	bow	miss		0	1	rarm	larm	bowq		0	0	0	0		1	0	0	3	25	4	40	6	1	3			0							weap	0						
Axe	axe	mele	ac5	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0							weap	0						
Club	club	blun	ac5	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0						
Sword	swor	blde	ac5	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0						
Hammer	hamm	blun	ac5	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0							weap	0						
Knife	knif	blde		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0							weap	0						
